x,y,species cloglog values
687.0,687.0,0.29048362
688.0,688.0,0.16795436
689.0,689.0,0.43208256
690.0,690.0,0.122143775
691.0,691.0,0.07353506
692.0,692.0,0.12665157
693.0,693.0,0.04167025
694.0,694.0,0.16992219
695.0,695.0,0.1737092
696.0,696.0,0.22534995
697.0,697.0,0.20087904
698.0,698.0,0.30302772
699.0,699.0,0.4914069
700.0,700.0,0.37238547
701.0,701.0,0.17633504
702.0,702.0,0.08192844
703.0,703.0,0.15074976
704.0,704.0,0.10856889
705.0,705.0,0.083737254
706.0,706.0,0.0836302
707.0,707.0,0.15100908
708.0,708.0,0.25241327
709.0,709.0,0.23648798
710.0,710.0,0.2469404
711.0,711.0,0.2570443
712.0,712.0,0.19800699
713.0,713.0,0.008998842
714.0,714.0,0.1915016
715.0,715.0,0.032412045
716.0,716.0,0.14607808
717.0,717.0,0.25560114
718.0,718.0,0.4472032
719.0,719.0,0.3841775
720.0,720.0,0.40987846
721.0,721.0,0.555606
722.0,722.0,0.2738914
723.0,723.0,0.25625587
724.0,724.0,0.24920785
725.0,725.0,0.08483146
726.0,726.0,0.12109981
727.0,727.0,0.1877095
728.0,728.0,0.19338225
729.0,729.0,0.17648594
730.0,730.0,0.119622886
731.0,731.0,0.14437251
732.0,732.0,4.2318497E-4
733.0,733.0,0.4012817
734.0,734.0,0.07862884
735.0,735.0,0.170968
736.0,736.0,0.37088433
737.0,737.0,0.6870372
738.0,738.0,0.5241554
739.0,739.0,0.31035125
740.0,740.0,0.50299764
741.0,741.0,0.4383005
742.0,742.0,0.30033213
743.0,743.0,0.1252939
744.0,744.0,0.2250204
745.0,745.0,0.24239776
746.0,746.0,0.1944836
747.0,747.0,0.17750123
748.0,748.0,0.08452525
749.0,749.0,0.012950509
750.0,750.0,0.002425235
751.0,751.0,1.693601E-4
752.0,752.0,0.12314512
753.0,753.0,0.28898522
754.0,754.0,0.47920102
755.0,755.0,0.6834792
756.0,756.0,0.23368108
757.0,757.0,0.2870521
758.0,758.0,0.5291314
759.0,759.0,0.49580064
760.0,760.0,0.4025051
761.0,761.0,0.27672476
762.0,762.0,0.12656488
763.0,763.0,0.2797349
764.0,764.0,0.16271581
765.0,765.0,0.21019703
