Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.49087E-4,26.066553723,0.607902216,0.340393343,0.247994165,0
4.54555E-4,26.293488475,0.612346477,0.338577912,0.247994165,0
4.59279E-4,26.522099697,0.616145522,0.337367625,0.250911743,0
4.60552E-4,26.75191588,0.617162729,0.335854766,0.253829322,0
4.64424E-4,27.028867618,0.620240525,0.334039334,0.2567469,0
4.67764E-4,27.261808846,0.622876072,0.332526475,0.2567469,0
4.70277E-4,27.543468042,0.624846093,0.330711044,0.260393873,0
4.73399E-4,27.874042856,0.627279951,0.328593041,0.265499635,0
4.75161E-4,28.016389284,0.628647252,0.327685325,0.266958425,0
4.7654E-4,28.254301321,0.629712846,0.326172466,0.268417214,0
4.78763E-4,29.450691442,0.631425097,0.318608169,0.28519329,0
4.8084E-4,29.546745858,0.633017817,0.318003026,0.285922684,0
4.88586E-4,30.083348971,0.638896224,0.314372163,0.285922684,0
4.92193E-4,30.329277187,0.641601587,0.313161876,0.293946025,0
4.92193E-4,30.723031684,0.641601587,0.310438729,0.293946025,0
4.96555E-4,30.772687143,0.644845612,0.310438729,0.300510576,0
5.01509E-4,31.022557994,0.648495193,0.30892587,0.301239971,0
5.02526E-4,32.025678079,0.649239735,0.302874433,0.315827863,0
5.08946E-4,32.279594804,0.653903237,0.301361573,0.315827863,0
5.14893E-4,32.535428959,0.658167135,0.299848714,0.315827863,0
5.15363E-4,33.153347169,0.658502078,0.296217852,0.324580598,0
5.174E-4,33.462768627,0.659949419,0.294402421,0.328956966,0
5.174E-4,33.566248656,0.659949419,0.293494705,0.328956966,0
5.18965E-4,33.825624227,0.661056885,0.292284418,0.334062728,0
5.22114E-4,34.034017024,0.663274722,0.29107413,0.334792123,0
5.22114E-4,34.660553634,0.663274722,0.287140696,0.334792123,0
5.22126E-4,34.869404135,0.663283435,0.285930408,0.344274252,0
5.25573E-4,35.026923386,0.6656943,0.285325265,0.347921225,0
5.2713E-4,35.394980173,0.666777601,0.283207262,0.353026988,0
5.30525E-4,35.500980298,0.669127745,0.282602118,0.353026988,0
5.32621E-4,35.87270359,0.670570666,0.280484115,0.357403355,0
5.3587E-4,36.140440137,0.672794579,0.278668684,0.357403355,0
5.38142E-4,36.517122801,0.674340567,0.276550681,0.361050328,0
5.47051E-4,36.78844237,0.680333235,0.275340393,0.366885485,0
5.51443E-4,37.724748353,0.683246992,0.270196672,0.377826404,0
5.53116E-4,37.780059973,0.68434982,0.2698941,0.377826404,0
5.56582E-4,38.002348725,0.686622158,0.268683812,0.378555799,0
5.60759E-4,38.281989175,0.689339158,0.267170953,0.380014588,0
5.62753E-4,38.506697994,0.690628257,0.265960666,0.381473377,0
5.67063E-4,38.845457265,0.693395803,0.264145234,0.38512035,0
5.68205E-4,39.015700056,0.694124505,0.263237519,0.386579139,0
5.69236E-4,39.357241949,0.694781638,0.261119516,0.387308534,0
5.69833E-4,39.642021458,0.695161234,0.259909228,0.39460248,0
5.69833E-4,40.097888194,0.695161234,0.257186082,0.39460248,0
5.71286E-4,41.86887493,0.696083009,0.247806354,0.401167031,0
5.78868E-4,42.09887642,0.700849062,0.246898638,0.425966448,0
5.8587E-4,42.273452205,0.705184362,0.245990923,0.425966448,0
5.8732E-4,42.684346665,0.706074059,0.24387292,0.430342815,0
5.90095E-4,42.802251416,0.707769958,0.243267776,0.430342815,0
5.94696E-4,43.039024455,0.710559209,0.242057489,0.432530999,0
5.9978E-4,44.16945482,0.713611153,0.236308623,0.446389497,0
6.03364E-4,44.289818305,0.715742808,0.23570348,0.446389497,0
6.03364E-4,44.531163901,0.715742808,0.23419062,0.446389497,0
6.08575E-4,44.773361282,0.718814114,0.233282905,0.45003647,0
6.08575E-4,48.120522992,0.718814114,0.21633888,0.45003647,0
6.09793E-4,50.315776415,0.71952707,0.205446293,0.490882567,0
6.15614E-4,50.500091958,0.722910127,0.20484115,0.517140773,0
6.19987E-4,50.808573646,0.725425275,0.20332829,0.520058352,0
6.21408E-4,51.428801853,0.726237364,0.200302572,0.527352298,0
6.21408E-4,52.112350843,0.726237364,0.19667171,0.527352298,0
6.23341E-4,52.299149338,0.727338385,0.196066566,0.536105033,0
6.23341E-4,53.85750234,0.727338385,0.188199697,0.536105033,0
6.29942E-4,54.045767441,0.73106455,0.187594554,0.555069292,0
6.37783E-4,56.06564144,0.735425093,0.177912254,0.57840992,0
