x,y,species cloglog values
598.0,598.0,0.24374793
599.0,599.0,0.38265175
600.0,600.0,0.4707812
601.0,601.0,0.48484638
602.0,602.0,0.5559137
603.0,603.0,0.39837396
604.0,604.0,0.3647721
605.0,605.0,0.24086198
606.0,606.0,0.29917216
607.0,607.0,0.2966677
608.0,608.0,0.22458524
609.0,609.0,0.010501726
610.0,610.0,0.38811746
611.0,611.0,0.5657072
612.0,612.0,0.5441857
613.0,613.0,0.72427887
614.0,614.0,0.48827684
615.0,615.0,0.39759925
616.0,616.0,0.33778474
617.0,617.0,0.09106217
618.0,618.0,0.1801023
619.0,619.0,0.23403849
620.0,620.0,0.23010038
621.0,621.0,0.29290658
622.0,622.0,0.3183061
623.0,623.0,0.3271096
624.0,624.0,0.39383775
625.0,625.0,0.575808
626.0,626.0,0.37676018
627.0,627.0,0.28695533
628.0,628.0,0.1902292
629.0,629.0,0.26600945
630.0,630.0,0.24719262
631.0,631.0,0.21647516
632.0,632.0,0.2144195
633.0,633.0,0.27097386
634.0,634.0,0.33933952
635.0,635.0,0.30245617
636.0,636.0,0.25051725
637.0,637.0,0.18130657
638.0,638.0,0.038272228
639.0,639.0,0.42767885
640.0,640.0,0.079220764
641.0,641.0,0.19307645
642.0,642.0,0.26080316
643.0,643.0,0.33885297
644.0,644.0,0.4552698
645.0,645.0,0.28225225
646.0,646.0,0.34145588
647.0,647.0,0.36031547
648.0,648.0,0.3631462
649.0,649.0,0.2176014
650.0,650.0,0.24213798
651.0,651.0,0.28959247
652.0,652.0,0.2518598
653.0,653.0,0.27978247
654.0,654.0,0.28761977
655.0,655.0,0.26483005
656.0,656.0,0.064640544
657.0,657.0,0.0015896263
658.0,658.0,0.5864631
659.0,659.0,0.17539804
660.0,660.0,0.25011602
661.0,661.0,0.35460466
662.0,662.0,0.56112504
663.0,663.0,0.68567526
664.0,664.0,0.37918788
665.0,665.0,0.22057687
666.0,666.0,0.30889028
667.0,667.0,0.2993511
668.0,668.0,0.28592384
669.0,669.0,0.2838232
670.0,670.0,0.21309212
671.0,671.0,0.22145829
672.0,672.0,0.22011274
673.0,673.0,0.10696156
674.0,674.0,0.079451375
675.0,675.0,0.010238541
676.0,676.0,7.462035E-4
677.0,677.0,0.31440267
678.0,678.0,0.6310194
679.0,679.0,0.5351934
680.0,680.0,0.5891456
681.0,681.0,0.34542495
682.0,682.0,0.2419123
683.0,683.0,0.36007425
684.0,684.0,0.2873056
685.0,685.0,0.32670578
686.0,686.0,0.36087817
687.0,687.0,0.28571787
688.0,688.0,0.21279909
689.0,689.0,0.2541688
690.0,690.0,0.27177492
691.0,691.0,0.25133675
692.0,692.0,0.057747398
693.0,693.0,0.0021293755
694.0,694.0,0.005919219
695.0,695.0,0.37422246
696.0,696.0,0.74741226
697.0,697.0,0.70184463
698.0,698.0,0.6206432
699.0,699.0,0.68662214
700.0,700.0,0.7727705
701.0,701.0,0.40619338
702.0,702.0,0.2832354
703.0,703.0,0.25039008
704.0,704.0,0.29868868
705.0,705.0,0.26907837
706.0,706.0,0.29757884
707.0,707.0,0.6079022
708.0,708.0,0.33229196
709.0,709.0,0.28199217
710.0,710.0,0.5682072
711.0,711.0,0.3187461
712.0,712.0,0.286674
713.0,713.0,0.14518757
714.0,714.0,0.012853642
715.0,715.0,0.011120866
716.0,716.0,0.32976925
